donor-name,value,recipient-name,party-group,period,donor-id,recipient-id,donor-state,donor-address,donor-postcode,donor-category
26 Summers Pty Ltd,150000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
26 Summers Pty Ltd,50000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
26 Summers Pty Ltd,15000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
26 Summers Pty Ltd,5000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
Empire State Holdings Pty Ltd,14190,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
Empire State Holdings Pty Ltd,13000,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
Empire State Holdings Pty Ltd,12839,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
Empire State Holdings Pty Ltd,7260,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
James Management Services Pty Ltd,100000,#Sustainable Australia,#Sustainable Australia,2015-2016,36548,27917,NSW,17 Dunois Street,2066,Uncategorised
Rufolo Pty Ltd,300000,#Sustainable Australia,#Sustainable Australia,2015-2016,36550,27917,VIC,7 Shakespeare Grove,3122,Uncategorised
Personnel Contracting Pty Ltd,20000,Australian Christians,Australian Christians,2015-2016,28348,29723,WA,64 Canning Hwy,6100,Uncategorised
INTERMINE.COM.AU PTY LTD,99999,Australian Equality Party (Marriage),Australian Equality Party (Marriage),2015-2016,36545,33350,NSW,"Suite 1D, Governor Phillip Tower 23/1 Farrer Place",2000,Technology
Electrical Trades Union of Australia - Victorian Branch,272727,Australian Greens,Greens,2015-2016,29172,32,VIC,"Level 1, 200 Arden Street",3051,Unions
Electrical Trades Union of Australia - Victorian Branch,20000,Australian Greens,Greens,2015-2016,29172,32,VIC,"Level 1, 200 Arden Street",3051,Unions
Estate of Louise Mary Crossley,60000,Australian Greens,Greens,2015-2016,36556,32,TAS,c/- 8/16 Main Street,7109,Individual
Estate of Louise Mary Crossley,40000,Australian Greens,Greens,2015-2016,36556,32,TAS,c/- 8/16 Main Street,7109,Individual
Ms Anna Hackett,100000,Australian Greens,Greens,2015-2016,36862,32,,,,Individual
ms Judith Cullity,20000,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,65,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
Ms Ruth Greble,100,Australian Greens,Greens,2015-2016,33004,32,,,,Individual
Ms Ruth Greble,75,Australian Greens,Greens,2015-2016,33004,32,,,,Individual
Mr Graeme Wood,130000,"Australian Greens, Tasmanian Branch",Greens,2015-2016,36505,138,,,,Individual
Barbara Trauer,9900,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,3000,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,2000,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,250,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,150,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,135,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,50,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,20,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
MINAX URIEL PL,10000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,10000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,5000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,5000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,2500,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,1300,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,1000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
Mr Duncan Turpie,100000,"Australian Greens, Victorian Branch",Greens,2015-2016,22262,27964,,,,Individual
Mr Richard Purdy,90,"Australian Greens, Victorian Branch",Greens,2015-2016,36858,27964,,,,Individual
Ms Ruth Greble,100,"Australian Greens, Victorian Branch",Greens,2015-2016,33004,27964,,,,Individual
Careers Australia Group,27500,Australian Labor Party (ACT Branch),Labor,2015-2016,34340,55,QLD,PO Box 1433,4006,Education
Henroth Investments Pty Ltd,5000,Australian Labor Party (ACT Branch),Labor,2015-2016,5270,55,NSW,"Suite 604, Level 6 Eastpoint Tower 180 Ocean Street",2027,Property/Construction
Retail Guild of Australia Inc,3100,Australian Labor Party (ACT Branch),Labor,2015-2016,33082,55,NSW,1 Thomas Holt Drive,2113,Retail & Service
Seven West Media Limited,10000,Australian Labor Party (ACT Branch),Labor,2015-2016,18686,55,NSW,38-42 Pirrama Road,2009,Media
Seven West Media Limited,2200,Australian Labor Party (ACT Branch),Labor,2015-2016,18686,55,NSW,38-42 Pirrama Road,2009,Media
Seven West Media Limited,2000,Australian Labor Party (ACT Branch),Labor,2015-2016,18686,55,NSW,38-42 Pirrama Road,2009,Media
Seven West Media Limited,550,Australian Labor Party (ACT Branch),Labor,2015-2016,18686,55,NSW,38-42 Pirrama Road,2009,Media
Seven West Media Limited,550,Australian Labor Party (ACT Branch),Labor,2015-2016,18686,55,NSW,38-42 Pirrama Road,2009,Media
Seven West Media Limited,275,Australian Labor Party (ACT Branch),Labor,2015-2016,18686,55,NSW,38-42 Pirrama Road,2009,Media
Seven West Media Limited,200,Australian Labor Party (ACT Branch),Labor,2015-2016,18686,55,NSW,38-42 Pirrama Road,2009,Media
Westpac Banking Corporation,1320,Australian Labor Party (ACT Branch),Labor,2015-2016,17948,55,NSW,"Level 20, 275 Kent Street",2000,Finance/Insurance
Westpac Banking Corporation,900,Australian Labor Party (ACT Branch),Labor,2015-2016,17948,55,NSW,"Level 20, 275 Kent Street",2000,Finance/Insurance
ALH Group Pty Ltd,1621,Australian Labor Party (ALP),Labor,2015-2016,3003,4,VIC,Level 2 / 10 Yarra Street,3141,Hotels/Clubs
ALH Group Pty Ltd,1100,Australian Labor Party (ALP),Labor,2015-2016,3003,4,VIC,Level 2 / 10 Yarra Street,3141,Hotels/Clubs
Allianz Australia Limited,11000,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
Allianz Australia Limited,5000,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
Allianz Australia Limited,3000,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
Allianz Australia Limited,1500,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
Allianz Australia Limited,550,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
Allianz Australia Limited,550,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
Allianz Australia Limited,450,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
Allianz Australia Limited,450,Australian Labor Party (ALP),Labor,2015-2016,4528,4,NSW,"Level 12, 2 Market Street",2000,Finance/Insurance
AMP Services Ltd,11000,Australian Labor Party (ALP),Labor,2015-2016,28820,4,ACT,PO Box 3409,2603,Finance/Insurance
AMP Services Ltd,10000,Australian Labor Party (ALP),Labor,2015-2016,28820,4,ACT,PO Box 3409,2603,Finance/Insurance
AMP Services Ltd,7500,Australian Labor Party (ALP),Labor,2015-2016,28820,4,ACT,PO Box 3409,2603,Finance/Insurance
AMP Services Ltd,550,Australian Labor Party (ALP),Labor,2015-2016,28820,4,ACT,PO Box 3409,2603,Finance/Insurance
ANZ Banking Group Limited,100000,Australian Labor Party (ALP),Labor,2015-2016,20372,4,VIC,"Level 10, 833 Collins Street Docklands",3008,Finance/Insurance
Arnold Bloch Leibler,10000,Australian Labor Party (ALP),Labor,2015-2016,29253,4,VIC,Level 21 333 Collins Street,3000,Law Firms
Arnold Bloch Leibler,2000,Australian Labor Party (ALP),Labor,2015-2016,29253,4,VIC,Level 21 333 Collins Street,3000,Law Firms
Arnold Bloch Leibler,1000,Australian Labor Party (ALP),Labor,2015-2016,29253,4,VIC,Level 21 333 Collins Street,3000,Law Firms
Arnold Bloch Leibler,1000,Australian Labor Party (ALP),Labor,2015-2016,29253,4,VIC,Level 21 333 Collins Street,3000,Law Firms
Arnold Bloch Leibler,1000,Australian Labor Party (ALP),Labor,2015-2016,29253,4,VIC,Level 21 333 Collins Street,3000,Law Firms
Aurizon Holdings Limited,15000,Australian Labor Party (ALP),Labor,2015-2016,33346,4,QLD,GPO Box 456,4000,Transportation
Aurizon Holdings Limited,2000,Australian Labor Party (ALP),Labor,2015-2016,33346,4,QLD,GPO Box 456,4000,Transportation
Aurizon Holdings Limited,1100,Australian Labor Party (ALP),Labor,2015-2016,33346,4,QLD,GPO Box 456,4000,Transportation
Austal Limited,1500,Australian Labor Party (ALP),Labor,2015-2016,1728,4,WA,100 Clarence Beach Road,6166,Defence
Australian Automobile Association,2200,Australian Labor Party (ALP),Labor,2015-2016,30236,4,ACT,PO Box 1555,2601,Transportation
Australian Hotels Association - Federal Office,20000,Australian Labor Party (ALP),Labor,2015-2016,30234,4,NSW,Level 15 131 Macquarie Street,2000,Hotels/Clubs
Australian Hotels Association - Federal Office,10000,Australian Labor Party (ALP),Labor,2015-2016,30234,4,NSW,Level 15 131 Macquarie Street,2000,Hotels/Clubs
Australian Hotels Association - Federal Office,5000,Australian Labor Party (ALP),Labor,2015-2016,30234,4,NSW,Level 15 131 Macquarie Street,2000,Hotels/Clubs
Australian Hotels Association - Federal Office,1000,Australian Labor Party (ALP),Labor,2015-2016,30234,4,NSW,Level 15 131 Macquarie Street,2000,Hotels/Clubs
Australian Private Equity & Venture Capital Association Limited,2500,Australian Labor Party (ALP),Labor,2015-2016,21095,4,NSW,Level 10 Kyle House 27-31 Macquarie Place,2000,Advocacy/Lobbyist
Australian Private Equity & Venture Capital Association Limited,1481,Australian Labor Party (ALP),Labor,2015-2016,21095,4,NSW,Level 10 Kyle House 27-31 Macquarie Place,2000,Advocacy/Lobbyist
"Australian Rail, Tram and Bus Industry Union",10000,Australian Labor Party (ALP),Labor,2015-2016,972,4,NSW,"Suite 210, 4 Goulburn St",2000,Unions
"Australian Rail, Tram and Bus Industry Union",10000,Australian Labor Party (ALP),Labor,2015-2016,972,4,NSW,"Suite 210, 4 Goulburn St",2000,Unions
"Australian Rail, Tram and Bus Industry Union",4091,Australian Labor Party (ALP),Labor,2015-2016,972,4,NSW,"Suite 210, 4 Goulburn St",2000,Unions
"Australian Rail, Tram and Bus Industry Union",1600,Australian Labor Party (ALP),Labor,2015-2016,972,4,NSW,"Suite 210, 4 Goulburn St",2000,Unions
"Australian Rail, Tram and Bus Industry Union",1000,Australian Labor Party (ALP),Labor,2015-2016,972,4,NSW,"Suite 210, 4 Goulburn St",2000,Unions
"Australian Rail, Tram and Bus Industry Union",850,Australian Labor Party (ALP),Labor,2015-2016,972,4,NSW,"Suite 210, 4 Goulburn St",2000,Unions
Australian Services Union - National Office,40000,Australian Labor Party (ALP),Labor,2015-2016,28918,4,VIC,Ground Floor 116 Queensberry Street,3053,Unions
Australian Services Union - National Office,5000,Australian Labor Party (ALP),Labor,2015-2016,28918,4,VIC,Ground Floor 116 Queensberry Street,3053,Unions
Ballyfore Engineering & Excavation PL,20000,Australian Labor Party (ALP),Labor,2015-2016,36459,4,NSW,PO Box 3486,2112,Property/Construction
BlueScope Steel Limited,16500,Australian Labor Party (ALP),Labor,2015-2016,28299,4,VIC,Level 11 120 Collins Street,3000,Industrial/Manufacturing
Boehringer Ingelheim Pty Limited,25000,Australian Labor Party (ALP),Labor,2015-2016,30349,4,NSW,78 Waterloo Road,2113,Pharmaceutical/Health
Boehringer Ingelheim Pty Limited,25000,Australian Labor Party (ALP),Labor,2015-2016,30349,4,NSW,78 Waterloo Road,2113,Pharmaceutical/Health
Caltex Australia Limited,11000,Australian Labor Party (ALP),Labor,2015-2016,23051,4,NSW,GPO Box 3916,2001,Energy
CFMEU National Office,29260,Australian Labor Party (ALP),Labor,2015-2016,30037,4,VIC,500 Swanston Street,3053,Unions
CFMEU National Office,20000,Australian Labor Party (ALP),Labor,2015-2016,30037,4,VIC,500 Swanston Street,3053,Unions
Chevron Australia Pty Ltd,10000,Australian Labor Party (ALP),Labor,2015-2016,29556,4,WA,250 St Georges Terrace,6000,Resources
Chevron Australia Pty Ltd,4000,Australian Labor Party (ALP),Labor,2015-2016,29556,4,WA,250 St Georges Terrace,6000,Resources
Chevron Australia Pty Ltd,1500,Australian Labor Party (ALP),Labor,2015-2016,29556,4,WA,250 St Georges Terrace,6000,Resources
Commonwealth Bank of Australia,27500,Australian Labor Party (ALP),Labor,2015-2016,1710,4,NSW,"Level 5, 201 Sussex Street",2000,Finance/Insurance
Commonwealth Bank of Australia,10000,Australian Labor Party (ALP),Labor,2015-2016,1710,4,NSW,"Level 5, 201 Sussex Street",2000,Finance/Insurance
Commonwealth Bank of Australia,10000,Australian Labor Party (ALP),Labor,2015-2016,1710,4,NSW,"Level 5, 201 Sussex Street",2000,Finance/Insurance
Commonwealth Bank of Australia,2500,Australian Labor Party (ALP),Labor,2015-2016,1710,4,NSW,"Level 5, 201 Sussex Street",2000,Finance/Insurance
Commonwealth Bank of Australia,1600,Australian Labor Party (ALP),Labor,2015-2016,1710,4,NSW,"Level 5, 201 Sussex Street",2000,Finance/Insurance
Commonwealth Bank of Australia,1500,Australian Labor Party (ALP),Labor,2015-2016,1710,4,NSW,"Level 5, 201 Sussex Street",2000,Finance/Insurance
Commonwealth Bank of Australia,450,Australian Labor Party (ALP),Labor,2015-2016,1710,4,NSW,"Level 5, 201 Sussex Street",2000,Finance/Insurance
CPA Australia Ltd,12600,Australian Labor Party (ALP),Labor,2015-2016,28284,4,VIC,Level 20 28 Freshwater place,3006,Accounting/Advisory
CropLife Australia Limited,16500,Australian Labor Party (ALP),Labor,2015-2016,29021,4,ACT,Locked Bag 4396,2600,Agriculture
CropLife Australia Limited,3300,Australian Labor Party (ALP),Labor,2015-2016,29021,4,ACT,Locked Bag 4396,2600,Agriculture
CropLife Australia Limited,2500,Australian Labor Party (ALP),Labor,2015-2016,29021,4,ACT,Locked Bag 4396,2600,Agriculture
Crown Resorts Limited,10000,Australian Labor Party (ALP),Labor,2015-2016,4442,4,VIC,8 Whiteman St ,3006,Gambling
Crown Resorts Limited,1100,Australian Labor Party (ALP),Labor,2015-2016,4442,4,VIC,8 Whiteman St ,3006,Gambling
Crown Resorts Limited,1000,Australian Labor Party (ALP),Labor,2015-2016,4442,4,VIC,8 Whiteman St ,3006,Gambling
Deloitte Touche Tohmatsu,27500,Australian Labor Party (ALP),Labor,2015-2016,20444,4,NSW,"c/o Level 2, 225 George Street",2000,Accounting/Advisory
Deloitte Touche Tohmatsu,2200,Australian Labor Party (ALP),Labor,2015-2016,20444,4,NSW,"c/o Level 2, 225 George Street",2000,Accounting/Advisory
Deloitte Touche Tohmatsu,1650,Australian Labor Party (ALP),Labor,2015-2016,20444,4,NSW,"c/o Level 2, 225 George Street",2000,Accounting/Advisory
Dixon Advisory Group Pty Limited,5000,Australian Labor Party (ALP),Labor,2015-2016,36539,4,NSW,Level 15 100 Pacific Highway,2060,Finance/Insurance
Dixon Advisory Group Pty Limited,3300,Australian Labor Party (ALP),Labor,2015-2016,36539,4,NSW,Level 15 100 Pacific Highway,2060,Finance/Insurance
Dixon Advisory Group Pty Limited,550,Australian Labor Party (ALP),Labor,2015-2016,36539,4,NSW,Level 15 100 Pacific Highway,2060,Finance/Insurance
Dixon Advisory Group Pty Limited,200,Australian Labor Party (ALP),Labor,2015-2016,36539,4,NSW,Level 15 100 Pacific Highway,2060,Finance/Insurance
Ernst & Young,4624,Australian Labor Party (ALP),Labor,2015-2016,33593,4,NSW,200 George Street ,2000,Accounting/Advisory
Ernst & Young,90,Australian Labor Party (ALP),Labor,2015-2016,33593,4,NSW,200 George Street ,2000,Accounting/Advisory
Financial Services Council Limited,16500,Australian Labor Party (ALP),Labor,2015-2016,30081,4,NSW,"Level 24, 44 Market Street",2000,Finance/Insurance
Financial Services Council Limited,5500,Australian Labor Party (ALP),Labor,2015-2016,30081,4,NSW,"Level 24, 44 Market Street",2000,Finance/Insurance
Financial Services Council Limited,4400,Australian Labor Party (ALP),Labor,2015-2016,30081,4,NSW,"Level 24, 44 Market Street",2000,Finance/Insurance
Financial Services Council Limited,3500,Australian Labor Party (ALP),Labor,2015-2016,30081,4,NSW,"Level 24, 44 Market Street",2000,Finance/Insurance
Financial Services Council Limited,2500,Australian Labor Party (ALP),Labor,2015-2016,30081,4,NSW,"Level 24, 44 Market Street",2000,Finance/Insurance
Financial Services Council Limited,1500,Australian Labor Party (ALP),Labor,2015-2016,30081,4,NSW,"Level 24, 44 Market Street",2000,Finance/Insurance
Financial Services Council Limited,1500,Australian Labor Party (ALP),Labor,2015-2016,30081,4,NSW,"Level 24, 44 Market Street",2000,Finance/Insurance
Genworth Mortgage Insurance Australia Limited,27500,Australian Labor Party (ALP),Labor,2015-2016,33890,4,NSW,"Level 26, 101 Miller Street",2060,Finance/Insurance
Genworth Mortgage Insurance Australia Limited,12500,Australian Labor Party (ALP),Labor,2015-2016,33890,4,NSW,"Level 26, 101 Miller Street",2060,Finance/Insurance
Genworth Mortgage Insurance Australia Limited,3061,Australian Labor Party (ALP),Labor,2015-2016,33890,4,NSW,"Level 26, 101 Miller Street",2060,Finance/Insurance
Genworth Mortgage Insurance Australia Limited,1000,Australian Labor Party (ALP),Labor,2015-2016,33890,4,NSW,"Level 26, 101 Miller Street",2060,Finance/Insurance
Genworth Mortgage Insurance Australia Limited,550,Australian Labor Party (ALP),Labor,2015-2016,33890,4,NSW,"Level 26, 101 Miller Street",2060,Finance/Insurance
Genworth Mortgage Insurance Australia Limited,103,Australian Labor Party (ALP),Labor,2015-2016,33890,4,NSW,"Level 26, 101 Miller Street",2060,Finance/Insurance
Glencore Australia Holdings Pty Limited,30000,Australian Labor Party (ALP),Labor,2015-2016,36830,4,NSW,"Level 44, Gateway 1 Macquarie Place",2000,Resources
Health Insurance Restricted Membership Association of Australia,16500,Australian Labor Party (ALP),Labor,2015-2016,20320,4,VIC,PO Box 172,3128,Pharmaceutical/Health
Health Insurance Restricted Membership Association of Australia,2200,Australian Labor Party (ALP),Labor,2015-2016,20320,4,VIC,PO Box 172,3128,Pharmaceutical/Health
Health Insurance Restricted Membership Association of Australia,1100,Australian Labor Party (ALP),Labor,2015-2016,20320,4,VIC,PO Box 172,3128,Pharmaceutical/Health
Henroth Investments Pty Ltd,3000,Australian Labor Party (ALP),Labor,2015-2016,5270,4,NSW,"Suite 604, Level 6 Eastpoint Tower 180 Ocean Street",2027,Property/Construction
Holding Redlich,10755,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,4000,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,3400,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,2600,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,1068,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,1000,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,967,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,967,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
Holding Redlich,900,Australian Labor Party (ALP),Labor,2015-2016,2876,4,VIC,"Level 8, 555 Bourke Street",3000,Law Firms
"Hong Kong Kingson Investment Co., Ltd.",50000,Australian Labor Party (ALP),Labor,2015-2016,20628,4,OS,"Room 201A, Wing On Plaza, 62 Mody Road, Tsim Sha Tsui Kowloon",,Property/Construction
Infrastructure Partnerships Australia Ltd,5000,Australian Labor Party (ALP),Labor,2015-2016,21123,4,NSW,Suite 303 Level 3 95 Pitt Street,2000,Property/Construction
Infrastructure Partnerships Australia Ltd,5000,Australian Labor Party (ALP),Labor,2015-2016,21123,4,NSW,Suite 303 Level 3 95 Pitt Street,2000,Property/Construction
Insurance Australia Group Limited,13200,Australian Labor Party (ALP),Labor,2015-2016,19301,4,NSW,388 George Street,2000,Finance/Insurance
Insurance Australia Group Limited,7500,Australian Labor Party (ALP),Labor,2015-2016,19301,4,NSW,388 George Street,2000,Finance/Insurance
Insurance Australia Group Limited,2200,Australian Labor Party (ALP),Labor,2015-2016,19301,4,NSW,388 George Street,2000,Finance/Insurance
Insurance Australia Group Limited,2200,Australian Labor Party (ALP),Labor,2015-2016,19301,4,NSW,388 George Street,2000,Finance/Insurance
Insurance Australia Group Limited,1500,Australian Labor Party (ALP),Labor,2015-2016,19301,4,NSW,388 George Street,2000,Finance/Insurance
Insurance Australia Group Limited,750,Australian Labor Party (ALP),Labor,2015-2016,19301,4,NSW,388 George Street,2000,Finance/Insurance
Insurance Australia Group Limited,550,Australian Labor Party (ALP),Labor,2015-2016,19301,4,NSW,388 George Street,2000,Finance/Insurance
International SOS (Australasia) Pty Ltd,550,Australian Labor Party (ALP),Labor,2015-2016,29932,4,NSW,45 Clarence Street,2000,Pharmaceutical/Health
Jefferson Investments Pty Limited,25000,Australian Labor Party (ALP),Labor,2015-2016,33319,4,NSW,GPO Box 1612,2001,Finance/Insurance
Jefferson Investments Pty Limited,11000,Australian Labor Party (ALP),Labor,2015-2016,33319,4,NSW,GPO Box 1612,2001,Finance/Insurance
Jefferson Investments Pty Limited,2000,Australian Labor Party (ALP),Labor,2015-2016,33319,4,NSW,GPO Box 1612,2001,Finance/Insurance
KPMG Australia,27500,Australian Labor Party (ALP),Labor,2015-2016,32569,4,VIC,147 Collins Street,3000,Accounting/Advisory
Lion Pty Ltd,45000,Australian Labor Party (ALP),Labor,2015-2016,30309,4,NSW,"Level 7, 68 York Street",2000,Alcohol
Lion Pty Ltd,45000,Australian Labor Party (ALP),Labor,2015-2016,30309,4,NSW,"Level 7, 68 York Street",2000,Alcohol
Macquarie Group Limited,22000,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,22000,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,11000,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,11000,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,8000,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,7500,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,7500,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,3000,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,2200,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,2000,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,1100,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,1100,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Group Limited,90,Australian Labor Party (ALP),Labor,2015-2016,20324,4,NSW,GPO Box 4294,1164,Finance/Insurance
Macquarie Telecom Pty Ltd,38500,Australian Labor Party (ALP),Labor,2015-2016,19060,4,NSW,Level 15 2 Market Street,2000,Telecommunications
